seed,cnn,accuracy,kappa,mae
42,Resnet50,0.8464,0.9501,0.1691
52,Resnet50,0.8316,0.9458,0.1826
62,Resnet50,0.8273,0.9425,0.1904
72,Resnet50,0.7877,0.939,0.2215
82,Resnet50,0.8132,0.9416,0.1996
42,DenseNet-121,0.81,0.9419,0.1982
52,DenseNet-121,0.7374,0.9339,0.2661
62,DenseNet-121,0.7636,0.9322,0.2527
72,DenseNet-121,0.7834,0.9373,0.2279
82,DenseNet-121,0.7459,0.9277,0.2661
42,EfficientNet-B0,0.7799,0.9325,0.2385
52,EfficientNet-B0,0.7332,0.9226,0.2852
62,EfficientNet-B0,0.724,0.9178,0.2958
72,EfficientNet-B0,0.7473,0.928,0.2696
82,EfficientNet-B0,0.7134,0.9147,0.3071
42,inception_resnet_v2,0.862,0.954,0.107
52,inception_resnet_v2,0.8344,0.9478,0.1805
62,inception_resnet_v2,0.7183,0.919,0.2951
72,inception_resnet_v2,0.8316,0.95,0.1798
82,inception_resnet_v2,0.7785,0.9346,0.2335
42,convnext_tiny,0.8441,0.9447,0.1723
52,convnext_tiny,0.8165,0.9460,0.1913
62,convnext_tiny,0.8578,0.9501,0.1576
72,convnext_tiny,0.8016,0.9340,0.2224
82,convnext_tiny,0.7976,0.9405,0.2123
