seed,cnn,accuracy,kappa,mae
42,Resnet50,0.8588,0.9520,0.1569
52,Resnet50,0.8588,0.9522,0.1569
62,Resnet50,0.8383,0.9440,0.1808
72,Resnet50,0.7783,0.9320,0.2353
82,Resnet50,0.7517,0.9035,0.2858
42,DenseNet-121,0.8336,0.9450,0.1828
52,DenseNet-121,0.8315,0.9426,0.1876
62,DenseNet-121,0.7128,0.9078,0.3042
72,DenseNet-121,0.7885,0.9301,0.2360
82,DenseNet-121,0.7469,0.9189,0.2790
42,EfficientNet-B0,0.6971,0.8974,0.3411
52,EfficientNet-B0,0.7469,0.9185,0.2844
62,EfficientNet-B0,0.7435,0.9185,0.2824
72,EfficientNet-B0,0.6971,0.9013,0.3397
82,EfficientNet-B0,0.6985,0.9034,0.3349
42,inception_resnet_v2,0.7483,0.9271,0.2681
52,inception_resnet_v2,0.8097,0.9366,0.2094
62,inception_resnet_v2,0.6952,0.8968,0.3370
72,inception_resnet_v2,0.7885,0.9244,0.2428
82,inception_resnet_v2,0.7551,0.9188,0.2694
42,convnext_tiny,0.7756,0.9327,0.2394
52,convnext_tiny,0.8813,0.9640,0.1262
62,convnext_tiny,0.8213,0.9469,0.1889
72,convnext_tiny,0.7804,0.9307,0.2381
82,convnext_tiny,0.7944,0.9344,0.2196
