seed,cnn,accuracy,kappa,mae
42,Resnet50,0.6907,0.8442,0.3499
52,Resnet50,0.7022,0.8501,0.3378
62,Resnet50,0.6889,0.8450,0.3577
72,Resnet50,0.6538,0.8160,0.4092
82,Resnet50,0.6852,0.8243,0.3735
42,DenseNet-121,0.6665,0.8356,0.3759
52,DenseNet-121,0.6810,0.8410,0.3523
62,DenseNet-121,0.6870,0.8348,0.3614
72,DenseNet-121,0.6810,0.8360,0.3614
82,DenseNet-121,0.6895,0.8359,0.3608
42,EfficientNet-B0,0.6592,0.8315,0.3880
52,EfficientNet-B0,0.6780,0.8386,0.3699
62,EfficientNet-B0,0.6725,0.8318,0.3765
72,EfficientNet-B0,0.6646,0.8301,0.3850
82,EfficientNet-B0,0.6677,0.8228,0.3874
42,inception_resnet_v2,0.6864,0.8306,0.3674
52,inception_resnet_v2,0.6864,0.8445,0.3541
62,inception_resnet_v2,0.6762,0.8182,0.3886
72,inception_resnet_v2,0.6683,0.8278,0.3814
82,inception_resnet_v2,0.6834,0.8328,0.3656
42,convnext_tiny,0.6931,0.8550,0.3360
52,convnext_tiny,0.7173,0.8762,0.3063
62,convnext_tiny,0.6949,0.8413,0.3541
72,convnext_tiny,0.6895,0.8511,0.3456
82,convnext_tiny,0.6877,0.8473,0.3529
