seed,cnn,s2px_acc,s2px_kappa,s2px_mae,s5px_acc,s5px_kappa,s5px_mae,s10px_acc,s10px_kappa,s10px_mae
42,Resnet50,0.6793,0.8267,0.3796,0.6669,0.8155,0.3975,0.6644,0.8074,0.4031
52,Resnet50,0.6741,0.8309,0.3772,0.6669,0.8126,0.3956,0.6568,0.8081,0.4068
62,Resnet50,0.6807,0.8182,0.3861,0.6704,0.7959,0.4111,0.6640,0.7903,0.4239
72,Resnet50,0.6658,0.8268,0.3829,0.6519,0.8234,0.3956,0.6193,0.7846,0.4477
82,Resnet50,0.6880,0.8381,0.3564,0.6825,0.8341,0.3631,0.6426,0.8123,0.4091
42,DenseNet-121,0.6836,0.8238,0.3709,0.6489,0.8061,0.4080,0.6279,0.8011,0.4266
52,DenseNet-121,0.6939,0.8275,0.3680,0.6829,0.8280,0.3752,0.6741,0.8140,0.3944
62,DenseNet-121,0.6906,0.8392,0.3620,0.6883,0.8332,0.3685,0.6739,0.8259,0.3855
72,DenseNet-121,0.6671,0.8249,0.3878,0.6685,0.8209,0.3906,0.6365,0.7928,0.4360
82,DenseNet-121,0.7065,0.8484,0.3372,0.7127,0.8591,0.3243,0.6778,0.8299,0.3746
42,EfficientNet-B0,0.6582,0.8067,0.4062,0.6322,0.7985,0.4328,0.6241,0.7810,0.4508
52,EfficientNet-B0,0.6543,0.8110,0.4080,0.6502,0.8097,0.4129,0.6389,0.7945,0.4358
62,EfficientNet-B0,0.6609,0.8121,0.4066,0.6488,0.8007,0.4247,0.6361,0.8004,0.4171
72,EfficientNet-B0,0.6646,0.8229,0.3921,0.6488,0.8089,0.4171,0.6279,0.7905,0.4471
82,EfficientNet-B0,0.6658,0.8177,0.3989,0.6517,0.8202,0.4069,0.6359,0.8067,0.4295
42,inception_resnet_v2,0.6656,0.8109,0.3981,0.6613,0.8149,0.3950,0.6483,0.8067,0.4111
52,inception_resnet_v2,0.6741,0.8213,0.3871,0.6774,0.8271,0.3776,0.6556,0.8054,0.4142
62,inception_resnet_v2,0.6553,0.8155,0.4041,0.6438,0.8088,0.4173,0.6064,0.7662,0.4783
72,inception_resnet_v2,0.6862,0.8248,0.3755,0.6759,0.8221,0.3857,0.6402,0.7808,0.4453
82,inception_resnet_v2,0.6998,0.8559,0.3360,0.6887,0.8477,0.3533,0.6426,0.8195,0.4128
42,convnext_tiny,0.6854,0.8380,0.3579,0.6854,0.8380,0.3599,0.6749,0.8276,0.3746
52,convnext_tiny,0.6846,0.8416,0.3519,0.678,0.8316,0.3646,0.6667,0.8230,0.3809
62,convnext_tiny,0.6825,0.8317,0.3670,0.6728,0.8305,0.3728,0.6677,0.8262,0.3818
72,convnext_tiny,0.7016,0.8571,0.3379,0.6950,0.8488,0.3494,0.6697,0.8288,0.3868
82,convnext_tiny,0.7078,0.8640,0.3206,0.7121,0.8599,0.3200,0.6796,0.8424,0.3574
