seed,cnn,accuracy,kappa,mae
42,Resnet50,0.6927,0.8340,0.3614
52,Resnet50,0.6730,0.8388,0.3663
62,Resnet50,0.6804,0.8257,0.3768
72,Resnet50,0.6693,0.8329,0.3749
82,Resnet50,0.7044,0.8597,0.3239
42,DenseNet-121,0.6712,0.8298,0.3737
52,DenseNet-121,0.6921,0.8383,0.3583
62,DenseNet-121,0.6908,0.8415,0.3565
72,DenseNet-121,0.6847,0.8305,0.3688
82,DenseNet-121,0.7093,0.8553,0.3294
42,EfficientNet-B0,0.6681,0.8211,0.3866
52,EfficientNet-B0,0.6693,0.8306,0.3786
62,EfficientNet-B0,0.6933,0.8348,0.3620
72,EfficientNet-B0,0.6872,0.8350,0.3632
82,EfficientNet-B0,0.6878,0.8391,0.3608
42,inception_resnet_v2,0.6970,0.8285,0.3620
52,inception_resnet_v2,0.6749,0.8345,0.3700
62,inception_resnet_v2,0.6699,0.8346,0.3768
72,inception_resnet_v2,0.6693,0.8329,0.3749
82,inception_resnet_v2,0.7093,0.8553,0.3294
42,convnext_tiny,0.7007,0.8492,0.3362
52,convnext_tiny,0.6951,0.8513,0.3368
62,convnext_tiny,0.6933,0.8517,0.3417
72,convnext_tiny,0.7081,0.8613,0.3288
82,convnext_tiny,0.7185,0.8728,0.3036
